Initialization,Ops,E,gnorm,E0,Exact
94,1,-2.0996957882703153,3.774758283725532e-15,-1.759243819778722,-2.8009588996544403
95,1,-2.0996957882703153,5.950795411990839e-14,-1.8860604621202777,-2.8009588996544403
96,1,-2.099695788270315,1.3322676295501878e-15,-1.7129506780796357,-2.8009588996544403
97,1,-2.0996957882703153,5.995204332975845e-15,-1.9000240448515864,-2.8009588996544403
98,1,-2.0996957882703144,1.8673951274195133e-13,-1.991638275600747,-2.8009588996544403
99,1,-2.099695788270315,2.220446049250313e-16,-1.9825399740143053,-2.8009588996544403
100,1,-2.0996957882703153,2.220446049250313e-15,-2.07879073331537,-2.8009588996544403
101,1,-2.099695788270315,2.220446049250313e-16,-1.9618240326200296,-2.8009588996544403
102,1,-2.0996957882703153,4.440892098500626e-16,-1.8630099427274494,-2.8009588996544403
103,1,-2.0996957882703153,2.220446049250313e-16,-2.091742227525227,-2.8009588996544403
104,1,-2.0996957882703153,1.7670087615329066e-11,-1.772030846499639,-2.8009588996544403
105,1,-2.099695788270315,2.220446049250313e-16,-1.9333252484510448,-2.8009588996544403
106,1,-2.0996957882703158,2.6102460193300203e-09,-1.7557140120915729,-2.8009588996544403
107,1,-2.0996957882703144,3.1086244689504383e-15,-2.02572516640491,-2.8009588996544403
108,1,-2.099695788270315,5.329070518200751e-15,-2.071410783725529,-2.8009588996544403
109,1,-2.099695788270315,9.50350909079134e-14,-1.8821683587417812,-2.8009588996544403
110,1,-2.099695788270315,3.3373304120232206e-13,-1.7839924304623098,-2.8009588996544403
111,1,-2.0996957882703144,2.220446049250313e-16,-1.72160475467774,-2.8009588996544403
112,1,-2.099695788270315,2.220446049250313e-16,-2.0955426902957646,-2.8009588996544403
113,1,-2.0996957882703153,6.865619184281968e-13,-1.7456191458192225,-2.8009588996544403
114,1,-2.0996957882703144,0.0,-2.099075483686609,-2.8009588996544403
115,1,-2.099695788270315,2.220446049250313e-16,-1.7391017931667319,-2.8009588996544403
116,1,-2.099695788270315,2.6201263381153694e-13,-1.8727297040188056,-2.8009588996544403
117,1,-2.0996957882703144,4.440892098500626e-16,-1.8637495847953005,-2.8009588996544403
118,1,-2.099695788270315,1.623148282448028e-10,-2.019677689597873,-2.8009588996544403
119,1,-2.0996957882703153,2.7157993631732325e-09,-2.044363271024256,-2.8009588996544403
120,1,-2.099695788270315,6.039613253960852e-14,-1.8160836867936976,-2.8009588996544403
121,1,-2.099695788270315,2.220446049250313e-16,-1.8621888002033438,-2.8009588996544403
122,1,-2.0996957882703144,2.220446049250313e-16,-2.0931485013020703,-2.8009588996544403
123,1,-2.0996957882703153,2.220446049250313e-16,-1.9609686253894398,-2.8009588996544403
124,1,-2.0996957882703144,7.327471962526033e-15,-1.9032441581425033,-2.8009588996544403
125,1,-2.0996957882703153,1.021405182655144e-14,-2.0467027969678306,-2.8009588996544403
126,1,-2.0996957882703153,0.0,-1.978420775451254,-2.8009588996544403
0,2,-2.276170191699263,8.923886964877001e-11,-2.0996957882703158,-2.8009588996544403
1,2,-2.276170191699263,1.4875302762934946e-10,-2.276170191699263,-2.8009588996544403
2,2,-2.2761701916992627,2.220446049250313e-16,-1.9069415794662745,-2.8009588996544403
3,2,-2.2761701916992627,1.5758875171014439e-09,-1.7427444120626192,-2.8009588996544403
4,2,-2.276170191699263,1.0157661692531e-11,-2.039602348980969,-2.8009588996544403
5,2,-2.2761701916992623,4.516759229518848e-12,-2.127456239691421,-2.8009588996544403
6,2,-2.276170191699263,6.003442341927805e-11,-2.024453662033487,-2.8009588996544403
7,2,-2.2761701916992623,1.505859217378379e-11,-1.8314557923766381,-2.8009588996544403
8,2,-2.2761701916992627,8.33368671663951e-11,-2.1280942398860723,-2.8009588996544403
9,2,-2.2761701916992627,2.2975864828850606e-10,-1.8867811741892142,-2.8009588996544403
10,2,-2.276170191699263,3.004094234544472e-10,-2.1581399426803545,-2.8009588996544403
11,2,-2.2761701916992623,5.921678906613508e-12,-1.7364650460892102,-2.8009588996544403
12,2,-2.2761701916992623,1.159106867033638e-15,-1.8829546012866403,-2.8009588996544403
13,2,-2.2761701916992623,1.4612338307088315e-11,-1.864325806759958,-2.8009588996544403
14,2,-2.276170191699263,2.878127367621591e-09,-2.0971811337577893,-2.8009588996544403
15,2,-2.2761701916992627,3.458589439706389e-12,-2.0347443267105256,-2.8009588996544403
16,2,-2.2761701916992623,2.6735000321025016e-13,-1.806144680537251,-2.8009588996544403
17,2,-2.2761701916992623,1.8127250470316754e-12,-2.038430306287255,-2.8009588996544403
18,2,-2.276170191699263,1.2597289415540765e-10,-1.7385149629258168,-2.8009588996544403
19,2,-2.2761701916992623,4.371925200064131e-14,-2.1193861615122143,-2.8009588996544403
