Initialization,Ops,E,gnorm,E0,Exact
117,1,-2.0828664112612367,0.0,-1.673441011028341,-2.8009588996544403
118,1,-2.082866411261236,3.708144902248023e-14,-1.4953045409101366,-2.8009588996544403
119,1,-2.0828664112612363,4.440892098500626e-16,-1.9908475640398338,-2.8009588996544403
120,1,-2.0828664112612363,4.440892098500626e-16,-2.048211475387493,-2.8009588996544403
121,1,-2.0828664112612394,1.8307533267147846e-10,-1.5506902194892913,-2.8009588996544403
122,1,-2.0828664112612367,6.661338147750939e-16,-2.0067519507882645,-2.8009588996544403
123,1,-2.0828664112612367,2.220446049250313e-16,-2.08187171603256,-2.8009588996544403
124,1,-2.0828664112612367,0.0,-1.4804658167757327,-2.8009588996544403
125,1,-2.0828664112612367,1.4053425090310157e-11,-1.9354257451559815,-2.8009588996544403
0,2,-2.166068132526259,1.4899258280044213e-11,-2.0828664112612465,-2.8009588996544403
1,2,-2.166068132526254,1.8678474202024016e-09,-1.6324651691952263,-2.8009588996544403
2,2,-2.166068132526254,5.731615262425665e-13,-1.9415575678421126,-2.8009588996544403
3,2,-2.106244744065185,1.0831514510471456e-08,-1.7035008574930381,-2.8009588996544403
4,2,-2.1062447440651866,1.9387714351931254e-11,-1.4600322721168695,-2.8009588996544403
5,2,-2.1660681325262545,7.811987214204621e-10,-1.6109039529348614,-2.8009588996544403
6,2,-2.166068132526254,4.577566798522237e-16,-1.9676607857924773,-2.8009588996544403
7,2,-2.1062447440651884,2.917311724424253e-10,-1.7874026347142817,-2.8009588996544403
8,2,-2.152474180837434,2.0180394771396292e-08,-1.4354338773536786,-2.8009588996544403
9,2,-2.106244744065182,1.1091678112871181e-13,-1.7039198235461703,-2.8009588996544403
10,2,-2.1660681325262545,4.828094569373956e-10,-1.9462859710114195,-2.8009588996544403
11,2,-2.166068132526254,2.7450486282661383e-12,-1.5972449985631754,-2.8009588996544403
12,2,-2.166068132526254,2.0062204763092234e-11,-1.98904787162094,-2.8009588996544403
13,2,-2.166068132526254,3.7325616389841565e-09,-1.415668769442577,-2.8009588996544403
14,2,-2.166068132526254,7.117083811769931e-14,-1.3978419104027435,-2.8009588996544403
15,2,-2.166068132526254,6.882223076338082e-09,-2.1133750153844475,-2.8009588996544403
16,2,-2.166068132526254,6.533181480407316e-11,-1.4840320376332103,-2.8009588996544403
17,2,-2.166068132526255,7.500298642970038e-13,-1.748623493454075,-2.8009588996544403
18,2,-2.106244744065186,5.52193838802183e-10,-1.5619992978192483,-2.8009588996544403
19,2,-2.1062447440651826,2.571564240229446e-09,-1.5860448344359581,-2.8009588996544403
20,2,-2.166068132526255,4.335156659824841e-10,-1.7850168959877633,-2.8009588996544403
21,2,-2.166068132526262,1.1137606849632768e-09,-1.3927149963025984,-2.8009588996544403
22,2,-2.166068132526255,5.566401037408113e-10,-2.1575924233789836,-2.8009588996544403
23,2,-2.166068132526252,1.9389211565826713e-15,-1.592316037361481,-2.8009588996544403
24,2,-2.1660681325262545,4.651951720792126e-13,-1.7314098536029447,-2.8009588996544403
25,2,-2.166068132526255,6.867639565763456e-10,-1.5031271227543992,-2.8009588996544403
26,2,-2.10624474406521,1.347279196817152e-09,-1.3987331936204428,-2.8009588996544403
