Initialization,Ops,E,gnorm,E0,Exact
56,2,-2.1660681325262567,1.4310102953216012e-13,-1.6768264182974306,-2.8009588996544403
57,2,-2.1660681325262567,1.3213006552364447e-11,-1.5685408452515708,-2.8009588996544403
58,2,-2.1660681325262567,4.472520880792377e-13,-1.5416788275127704,-2.8009588996544403
59,2,-2.1660681325262567,4.5288390936029406e-15,-1.915472960159067,-2.8009588996544403
60,2,-2.166068132526256,2.47741886221508e-10,-1.886804933425257,-2.8009588996544403
61,2,-2.166068132526257,4.520503341164901e-10,-1.7669641345720901,-2.8009588996544403
62,2,-2.166068132526256,2.8395598348083345e-12,-1.9071413870479321,-2.8009588996544403
63,2,-2.1660681325262567,8.095059310357395e-10,-1.9832875976978297,-2.8009588996544403
64,2,-2.1660681325262567,2.200497324156052e-12,-1.8451768135779116,-2.8009588996544403
65,2,-2.1660681325262567,3.614118205077837e-13,-1.749919641722038,-2.8009588996544403
66,2,-2.166068132526256,1.1711836008700648e-11,-1.975236390861597,-2.8009588996544403
67,2,-2.1660681325262567,9.884286023364677e-11,-2.110288009761414,-2.8009588996544403
68,2,-2.1660681325262567,2.8874583523094e-12,-1.8342594736492077,-2.8009588996544403
69,2,-2.1660681325262567,2.72976777135316e-09,-1.7153033100495598,-2.8009588996544403
70,2,-2.1660681325262567,9.045269061713002e-11,-2.082675257559799,-2.8009588996544403
71,2,-2.1660681325262567,3.5181017442080824e-10,-1.6639402412834783,-2.8009588996544403
72,2,-2.1660681325262567,7.447602459741819e-16,-2.138765131011041,-2.8009588996544403
73,2,-2.1660681325262563,5.231991468011388e-13,-2.165219485227954,-2.8009588996544403
74,2,-2.166068132526257,1.354472090042691e-14,-2.038298995485743,-2.8009588996544403
75,2,-2.1660681325262567,9.953716781144643e-12,-2.1634618190429613,-2.8009588996544403
76,2,-2.166068132526257,1.0516409370510988e-11,-1.7002947190228213,-2.8009588996544403
77,2,-2.1660681325262567,3.9962420383498314e-11,-1.6038646784114983,-2.8009588996544403
78,2,-2.1660681325262576,2.1956520077197878e-10,-1.6855832412213878,-2.8009588996544403
79,2,-2.1660681325262567,1.601907144938852e-11,-1.778782872032383,-2.8009588996544403
80,2,-2.1660681325262567,6.280369834735101e-16,-1.9138312527840307,-2.8009588996544403
81,2,-2.166068132526257,1.49555798917172e-10,-2.0580915958880728,-2.8009588996544403
82,2,-2.1660681325262567,6.07245004311377e-09,-2.0782892202292764,-2.8009588996544403
83,2,-2.1660681325262563,2.8258939861929897e-12,-2.164785959527525,-2.8009588996544403
84,2,-2.1660681325262567,7.902679821570212e-09,-1.8160538339583916,-2.8009588996544403
85,2,-2.166068132526256,1.022087429968047e-10,-1.8069032860379606,-2.8009588996544403
86,2,-2.166068132526256,1.3889075588617237e-10,-1.9335064501527897,-2.8009588996544403
87,2,-2.166068132526257,9.75540473449793e-10,-2.1508333946245584,-2.8009588996544403
88,2,-2.1660681325262567,1.1523674333433136e-09,-1.6266730590576222,-2.8009588996544403
89,2,-2.1660681325262567,1.231096671328401e-14,-2.161719294417006,-2.8009588996544403
90,2,-2.1660681325262567,2.6127033794017602e-11,-1.713829553754842,-2.8009588996544403
91,2,-2.1660681325262567,2.5197764305896216e-09,-2.132134067478705,-2.8009588996544403
92,2,-2.166068132526257,1.0459129491541886e-11,-1.528492501298246,-2.8009588996544403
93,2,-2.1660681325262567,1.0235750533041806e-15,-1.554128333213684,-2.8009588996544403
94,2,-2.166068132526257,6.079979052445252e-14,-1.5528635115182539,-2.8009588996544403
95,2,-2.1660681325262567,3.6537134436240364e-14,-1.6481597729755517,-2.8009588996544403
96,2,-2.166068132526256,3.453828624815668e-10,-1.6868764081448422,-2.8009588996544403
97,2,-2.1660681325262567,1.0653096064183255e-10,-1.7936711211296577,-2.8009588996544403
98,2,-2.1660681325262567,1.1563622980535506e-12,-2.110958843185849,-2.8009588996544403
99,2,-2.166068132526256,1.8209888502697447e-08,-1.9233136594547475,-2.8009588996544403
100,2,-2.1660681325262567,2.6892875400322563e-12,-1.8975986506870037,-2.8009588996544403
