Operators,Random E,Random E0,Recycled E,Recycled E0,Exact
1,-2.082866411246769,-1.6174221089491554,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.0828664112467683,-2.059631938231589,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-1.70679768912616,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-2.078607795498449,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-1.9349108592449522,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-2.0329792012269268,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.0828664112467683,-2.0763780472178,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.0828664112467625,-2.0821385308083604,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-1.940548355673262,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.0828664112467696,-2.069472911862272,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-2.0608728944154064,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.0828664112467665,-1.614427925569351,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.0828664112467687,-2.0800902378110293,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.0828664112467683,-2.082750535309687,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-1.8672195788760666,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-2.078429070195787,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.08286641124677,-1.9242055341223554,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.0828664112467656,-2.0568350060836473,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-1.6217191076854032,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.0828664112467696,-2.0798595427348276,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.0828664112467683,-1.9701882972556923,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-1.9566488042716252,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.0828664112467696,-2.042186531800908,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.0828664112467683,-2.0660555331604264,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246762,-2.0699399085254426,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.0828664112467696,-2.0796863129734744,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-1.8851700405482128,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-2.0783835194470806,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.0828664112467696,-1.8560350557715313,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.0828664112467687,-1.8632363582672966,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-1.970791392163093,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-2.082191478450592,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246768,-2.0785625593535837,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-1.6511363292933894,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-1.8961478562930014,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.0828664112467687,-1.8018207702894518,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-2.074902608891894,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246767,-2.07690955606437,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.0828664112467683,-1.6954147689224788,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.0828664112467696,-1.790396713569421,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.0828664112467674,-1.842603148274711,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-1.9422340761136565,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-1.9602337222965238,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-1.902816416096434,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.0828664112467656,-2.0087577624079627,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-2.082389877104451,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.0828664112467696,-2.0820596758017627,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.0828664112467696,-2.075972369924748,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-2.081721888830183,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-2.074147876834042,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246768,-1.8921773761695029,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.0828664112467687,-2.082854169583817,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.0828664112467687,-1.89162299982943,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-2.0346211512755357,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-1.6817247420360126,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-2.082249985622264,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.0828664112467647,-2.079087057412944,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.0828664112467696,-2.0345762385697004,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-1.9987120696623548,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.0828664112467696,-1.6013616413174452,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-1.685489312305708,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.082866411246769,-1.8377840508047647,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.0828664112467696,-2.0828146750710297,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.0828664112467696,-2.0820152253914435,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
1,-2.0828664112467696,-1.8218758509368291,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
